timestamp_sec,ang_vel_x,ang_vel_y,ang_vel_z,lin_acc_x,lin_acc_y,lin_acc_z,quat_x,quat_y,quat_z,quat_w
129.881955,0.391638,0.008767,-0.036874,0.01086,0.307317,9.743295,0.036314,-0.024741,-0.649932,0.758721
129.894808,0.387307,0.011734,-0.045784,0.027801,0.316053,9.728093,0.037834,-0.025957,-0.650001,0.758547
129.901959,0.354082,0.020246,-0.03651,0.039111,0.304066,9.713705,0.039346,-0.027141,-0.650099,0.758344
129.915048,0.318738,0.037481,-0.021848,0.031893,0.293529,9.702707,0.040765,-0.028189,-0.650175,0.758167
129.921937,0.30008,0.052966,-0.016487,0.007172,0.261567,9.692292,0.042101,-0.029059,-0.650191,0.758047
129.934809,0.300822,0.066044,-0.01953,-0.025457,0.235259,9.683021,0.04341,-0.029804,-0.650185,0.757949
129.941957,0.295442,0.078566,-0.020947,-0.051249,0.212794,9.67491,0.04475,-0.03049,-0.650197,0.757833
129.954989,0.273407,0.097448,-0.016028,-0.064451,0.212884,9.687845,0.046106,-0.0311,-0.650198,0.757727
129.962161,0.252622,0.115498,-0.013963,-0.059025,0.22362,9.712515,0.04744,-0.031575,-0.650179,0.757641
129.974802,0.250198,0.128028,-0.021244,-0.062668,0.239042,9.734938,0.048759,-0.031924,-0.650155,0.757563
129.981972,0.249924,0.135875,-0.032532,-0.070507,0.239755,9.743643,0.050113,-0.032217,-0.65015,0.757467
129.994804,0.227733,0.138438,-0.033176,-0.070654,0.26198,9.760028,0.051494,-0.03248,-0.650179,0.757338
130.001962,0.184163,0.139395,-0.022654,-0.062645,0.294698,9.766107,0.052803,-0.032664,-0.650211,0.757212
130.015167,0.149383,0.144031,-0.013081,-0.05921,0.306146,9.769764,0.053958,-0.032711,-0.650204,0.757134
130.021969,0.140729,0.144185,-0.013095,-0.048806,0.307656,9.770742,0.054993,-0.032632,-0.650177,0.757087
130.034882,0.151415,0.140664,-0.015993,-0.041441,0.307111,9.759962,0.055987,-0.032514,-0.650148,0.757044
130.04197,0.150846,0.134737,-0.0147,-0.048584,0.304828,9.758215,0.056995,-0.032426,-0.650125,0.756993
130.0548,0.130162,0.13215,-0.009933,-0.060138,0.289379,9.749988,0.057974,-0.032349,-0.650103,0.75694
130.061948,0.106314,0.128009,-0.011825,-0.070643,0.277345,9.73555,0.058865,-0.032217,-0.650071,0.756904
130.074803,0.098759,0.117937,-0.01685,-0.073695,0.266283,9.727507,0.059661,-0.03203,-0.65005,0.756869
130.081957,0.094566,0.107377,-0.014795,-0.07901,0.268843,9.733602,0.060396,-0.03186,-0.65005,0.756817
