timestamp_sec,module_id,range_m,self_range_error
129.875826,103.0,14.148,0.055
129.897442,100.0,3.867,0.055
129.918441,101.0,10.444,0.024
129.939466,102.0,10.76,0.055
129.961592,103.0,14.217,0.055
129.982469,100.0,3.801,0.055
130.003498,101.0,10.437,0.055
130.026333,102.0,10.855,0.024
130.047355,103.0,14.313,0.055
130.068179,100.0,3.731,0.055
130.08921,101.0,10.413,0.024
130.110252,102.0,10.932,0.055
130.131271,103.0,14.369,0.055
130.153344,100.0,3.678,0.055
130.174407,101.0,10.384,0.024
130.195427,102.0,11.02,0.024
130.216701,103.0,14.429,0.055
130.237712,100.0,3.617,0.055
130.258722,101.0,10.389,0.024
130.280938,102.0,11.091,0.024
130.302057,103.0,14.486,0.055
130.323073,100.0,3.581,0.055
130.34552,101.0,10.346,0.055
130.380104,103.0,14.531,0.055
130.40113,100.0,3.538,0.024
130.422417,101.0,10.306,0.055
130.443633,102.0,11.24,0.055
130.464668,103.0,14.547,0.055
130.485693,100.0,3.531,0.055
130.50669,101.0,10.278,0.024
130.527699,102.0,11.318,0.055
130.548694,103.0,14.605,0.055
130.569536,100.0,3.492,0.055
130.59058,101.0,10.238,0.055
130.611641,102.0,11.379,0.055
130.633796,103.0,14.636,0.055
130.654836,100.0,3.471,0.024
130.675882,101.0,10.211,0.024
130.698637,102.0,11.45,0.055
130.719678,103.0,14.671,0.055
130.748105,100.0,3.468,0.055
130.769153,101.0,10.183,0.055
130.790197,102.0,11.529,0.024
130.811228,103.0,14.719,0.055
130.83208,100.0,3.445,0.055
130.853149,101.0,10.157,0.024
130.874177,102.0,11.595,0.055
130.89521,103.0,14.752,0.024
130.916047,100.0,3.419,0.055
130.93704,101.0,10.132,0.055
130.958049,102.0,11.652,0.055
130.979071,103.0,14.79,0.055
131.000098,100.0,3.397,0.024
131.021123,101.0,10.112,0.055
131.042205,102.0,11.716,0.055
131.063219,103.0,14.837,0.055
131.084333,100.0,3.333,0.055
131.105335,101.0,10.09,0.055
131.126382,102.0,11.783,0.055
131.147416,103.0,14.882,0.055
131.168428,100.0,3.361,0.055
131.189483,101.0,10.081,0.024
131.210498,102.0,11.848,0.055
131.231524,103.0,14.938,0.055
131.252569,100.0,3.34,0.055
131.273679,101.0,10.05,0.055
131.294701,102.0,11.913,0.055
131.315737,103.0,14.975,0.055
131.336754,100.0,3.314,0.055
131.35779,101.0,10.023,0.055
131.378792,102.0,11.986,0.024
131.400948,103.0,15.02,0.055
131.421996,100.0,3.294,0.055
131.443024,101.0,10.024,0.024
131.464098,102.0,12.052,0.055
131.485125,103.0,15.06,0.024
